TITLE: Bill of Materials
BOM NO: 05_036355-a.csv
DATE: 03/12/2014
DESIGN: 02_036355a_top
TEMPLATE: Z:\allegro\v165_site\cdssetup\template.bom
CALLOUT: C:\tmp\20_036355a\worklib\02_036355a_top\bom\bom.callouts

ITEM#,Qty,WW_PN,DESCRIPTION,VALUE,JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG,MFG_PN,HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,DNI
34,7,E006640,RES FILM SMD 0402,820,R0402,5,?,1/16W,"R401,R405,R409,R413,R417,R421,R425",PANASONIC,ERJ-2GEJ821X,REL,A003-0021-034,?,?,?
35,7,E017175,RES THICK FILM CHIP,1.8K,R0402,5,?,1/10W,"R402,R406,R410,R414,R418,R422,R426",PANASONIC,ERJ-2GEJ182X,REL,?,?,?,?
36,7,E007570,RES FILM SMD 0402,8.2K,R0402,5,?,1/16W,"R404,R408,R412,R416,R420,R424,R428",PANASONIC,ERJ-2GEJ822X,REL,?,?,?,?
37,1,E006353,RES PREC THICK FILM CHIP R0402,40.2K,R0402,1,?,1/16W,R503,PANASONIC,ERJ-2RKF4022X,PREF,ADD_TO_STOCK439,?,?,?
38,1,E003751,RES PREC THICK FILM CHIP R0402,10K,R0402,1,?,1/16W,R504,PANASONIC,ERJ-2RKF1002X,PREF,A003-0035-004,41816DG719,?,?
39,1,E003796,RES PREC THICK FILM CHIP R0402,100K,R0402,1,?,1/16W,R505,PANASONIC,ERJ-2RKF1003X,PREF,A003-0035-053,41816DG575,?,?
40,1,E017078,RES THICK FILM,0.1,R0402,1,?,1/6W,R506,PANASONIC,ERJ-2BSFR10X,REL,?,?,?,?
41,1,E011086,SWITCH KEY 4MM SQ SMD J-HOOK,7914J-1-000E,SWSMSQ197H165,?,?,?,S100,BOURNS INC,7914J-1-000E,REL,?,?,?,?
42,4,E006308,XFMR RF 1:1,MABA-007159-000000,ETC1,?,?,?,"T201,T202,T204,T205",MACOM,MABA-007159-000000,REL,A005-0001-133,?,?,?
44,1,E007212,IC-ADI ETHERNET/GB ETHERNET CLK GEN PRELIM,AD9574BCPZ,QFN48_7X7_PAD5_1X5_1,?,?,?,U101,ADI,AD9574BCPZ,RWC,N/A,N/A,N/A,?
45,1,E002273,IC-TTL OCTAL BUFFER/DRVR W/3 STATE OUT,74LVC541APW,TSSOP20,?,?,?,U301,TEXAS INSTRUMENTS,SN74LVC541APW,REL,A005-0012-144,40901JH526,?,?
46,1,E013639,IC-ADI NONSYNC STEP-DOWN DC-DC,ADP2300AUJZ,TSOT23_6,?,3V TO 20V,?,U500,ADI,ADP2300AUJZ,REL,?,?,?,?
47,1,E016463,"IC-ADI LOW NOISE, CMOS LDO",ADP7104ARDZ-3.3,SO8NB-PAD3_1X2_41,?,3.3V,?,U501,ADI,ADP7104ARDZ-3.3,REL,?,?,?,?
48,2,E018513,IC CRYSTAL SMD 3225,25MEGHz,XTALNX3225,+/-30,?,?,"Y201,Y203",TAITIEN,A0145-X-001-3,REL,?,?,?,?
49,2,E018518,IC CRYSTAL XO CMOS,25.000MEGHZ,YSML126W98H41,?,?,?,"Y202,Y204",TAITIEN,A0145-L-006-3,REL,?,?,?,?

Callouts File:C:\tmp\20_036355a\worklib\02_036355a_top\bom\bom.callouts
Mechanical Parts (Analog Devices Supplied)
ITEM#,Qty,WW_PN,DESCRIPTION,VALUE,JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG,MFG_PN,HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,DNI
2,25,M017967,"SOCKET, 2POS, 0.100 PITCH,CONN SHUNT WITH HANDLE",?,JPF1X2L200W100H550P100,?,?,?,?,SAMTEC,SNT-100-BK-G-H,?,?,?,?,?
3,5,M012273,"MODULE, MOLDED SHAPES SJ SERIES",?,?,?,?,?,?,3M,SJ-5518,?,?,?,73017022,?


The following components are part of the PCB or are NOT to be installed
ITEM#,Qty,WW_PN,DESCRIPTION,VALUE,JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG,MFG_PN,HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,DNI
 5,6,E007982,CAP CER MULTILAYER NP0 0402,10pF,C0402,5,50V,?,"C203,C204,C207,C208,C219,C220",PHYCOMP (YAGEO),CC0402JRNP09BN100,REL,A004-0011-015,?,?,DNI
 6,4,E007200,CAP CER X7R 0402,0.1UF,C0402,10,16V,?,"C221,C222,C226,C227",MURATA,GRM155R71C104KA88D,REL,A004-0011-066,?,?,DNI
 26,14,E003438,RES FILM SMD 0402,0,R0402,5,?,1/16W,"R123,R212,R213,R215,R216,R219,R220,R222,R223,R230-R233,R502",PANASONIC,ERJ-2GE0R00X,REL,A003-0021-001,?,?,DNI
 29,3,E016329,RES PREC THICK FILM CHIP,100,R0402,1,?,1/10W,"R201,R202,R211",PANASONIC,ERJ-2RKF1000X,REL,?,?,?,DNI
 31,4,E003750,RES PREC THICK FILM CHIP R0402,49.9,R0402,1,?,1/16W,"R206,R207,R209,R210",PANASONIC,ERJ-2RKF49R9X,PREF,A003-0035-003,41816DG208,?,DNI
 43,1,E006308,XFMR RF 1:1,MABA-007159-000000,ETC1,?,?,?,T203,MACOM,MABA-007159-000000,REL,A005-0001-133,?,?,DNI

