TITLE: Bill of Materials
BOM NO: 05-072704-01-b.csv
DATE: 07/25/2024
DESIGN: 02_072704b_top
TEMPLATE: Z:\allegro\v174_site\cdssetup\template.bom
CALLOUT: C:\tmp\20_072704b\worklib\02_072704b_top\bom\callouts.callouts

ITEM#,Qty,WW_PN,DESCRIPTION," VALUE",JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG," MFG_PN",HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
20,1,E000812,CONN-PCB BERG HDR ST MALE 3P," TSW-103-08-G-S",CNBERG1X3H205LD36,N/A,N/A,N/A,P6,SAMTEC," TSW-103-08-G-S",REL,A012-0003-075,N/A,N/A,N/A,N/A,?,?
21,1,E003750,RES SMD 49.9 Ohm 1% 1/10W 0402 AEC-Q200," 49.9",R0402,1,N/A,1/10W,R1,PANASONIC," ERJ-2RKF49R9X",REL,A003-0035-003,41816DG208,N/A,1023_CAB3,7007757,?,?
22,4,E032891,RES SMD 255K Ohm 1% 1/10W 0402 AEC-Q200," 255K",R0402,1,N/A,1/10W,"R10,R11,R14,R15",PANASONIC," ERJ-2RKF2553X",REL,N/A,N/A,N/A,N/A,N/A,?,?
24,9,E017855,RES SMD 100K Ohm 1% 1/16W 0402," 100K",R0402,1,50V,1/16W,"R8,R9,R12,R13,R37,R40,R101,R102,R105",MULTICOMP (SPC)," MC 0.0625W 0402 1% 100K",REL,N/A,N/A,N/A,N/A,7005772,?,?
25,2,E006678,RES SMD 620 Ohm 5% 1/10W 0402 AEC-Q200," 620",R0402,5,N/A,1/10W,"R99,R106",PANASONIC," ERJ-2GEJ621X",REL,A003-0021-036,N/A,N/A,N/A,7008210,?,?
27,8,E003753,RES SMD 200 Ohm 1% 1/10W 0402 AEC-Q200," 200",R0402,1,N/A,1/10W,"R2,R3,R4,R5,R6,R7,R16,R17",PANASONIC," ERJ-2RKF2000X",REL,A003-0035-007,41816DG206,N/A,N/A,N/A,?,?
28,1,E003462,RES SMD 330 Ohm 5% 1/10W 0402 AEC-Q200," 330",R0402,5,N/A,1/10W,R19,PANASONIC," ERJ-2GEJ331X",REL,A003-0021-026,41816JH1133,N/A,N/A,7007297,?,?
29,1,E003760,RES SMD 100 Ohm 1% 1/16W 0402," 100",R0402,1,N/A,1/16W,R20,VENKEL," CR0402-16W-1000FPT",REL,A003-0035-014,N/A,N/A,749_CAB3,N/A,?,?
30,6,E003751,RES SMD 10K Ohm 1% 1/10W 0402 AEC-Q200," 10K",R0402,1,N/A,1/10W,"R21,R22,R23,R24,R32,R44",PANASONIC," ERJ-2RKF1002X",REL,A003-0035-004,41816DG719,N/A,N/A,7000582,?,?
31,13,E003438,RES SMD 0 Ohm JUMPER 1/10W 0402 AEC-Q200," 0",R0402,JUMPER,N/A,1/10W,"R25,R26,R27,R28,R33,R34,R35,R36,R46,R48,R51,R90,R91",PANASONIC," ERJ-2GE0R00X",REL,A003-0021-001,N/A,N/A,1138_CAB3,7000282,?,?
32,2,E049923,RES SMD 1K OHM 1% 1/16W 0402 AEC-Q200," 1K",R0402,1,N/A,1/16W,"R30,R31",VISHAY," CRCW04021K00FKED",REL,N/A,N/A,N/A,N/A,N/A,?,?
33,1,E025172,RES SMD 48.7K Ohm 1% 1/10W 0402 AEC-Q200," 48.7K",R0402,1,N/A,1/10W,R38,PANASONIC," ERJ-2RKF4872X",REL,N/A,N/A,N/A,N/A,N/A,?,?
34,1,E006346,RES SMD 80.6K Ohm 1% 1/10W 0402 AEC-Q200," 80.6K",R0402,1,N/A,1/10W,R39,PANASONIC," ERJ-2RKF8062X",REL,N/A,41816JH1209,N/A,N/A,7008418,?,?
35,2,E019616,RES SMD 280K Ohm 1% 1/16W 0402 AEC-Q200," 280K",R0402,1,50V,1/16W,"R42,R49",VISHAY," CRCW0402280KFKED",REL,N/A,N/A,N/A,N/A,7007028,?,?
36,2,E013603,RES SMD 160K Ohm 1% 1/10W 0402 AEC-Q200," 160K",R0402,1,N/A,1/10W,"R43,R50",PANASONIC," ERJ-2RKF1603X",REL,N/A,N/A,N/A,N/A,7006276,?,?
37,4,E012326,RES SMD 50 Ohm 1% 1/20W 0402 HIGH FREQ," 50",R0402,1,N/A,1/20W,"R45,R52,R53,R54",VISHAY," FC0402E50R0FST1",REL,N/A,N/A,N/A,N/A,7007893,?,?
39,1,E041326,"SWITCH 6POS SPST DIP, AUTO-PLACEABLE"," 219-6MST",SWSML658W264H180,N/A,20V,N/A,S1,CTS ELECTRONIC COMPONENTS," 219-6MST",REL,N/A,N/A,N/A,N/A,N/A,?,?
40,4,E012555,"CONN-PCB, BANANA JACK, FEMALE, NON-INSULATED, THT, SWAGE, 0.218 INCHES LENGTH"," 575-4",CNBANANAD312LD203,N/A,N/A,N/A,"TP1,TP2,TP4,TP5",KEYSTONE ELECTRONICS," 575-4",REL,N/A,N/A,N/A,N/A,6001707,?,?
41,1,E011161,IC-ADI CLOCK FANOUT 4 LVPECL OUTPUT DRIVERS," ADCLK944BCPZ",QFN16_3X3_PAD1_5X1_5,N/A,N/A,?,U1,ANALOG DEVICES," ADCLK944BCPZ-R7",REL,N/A,N/A,N/A,N/A,1003027,?,?
42,8,E019478,IC-ADI CMOS 1.65V TO 2.75V SPST SWITCH," ADG902BRMZ",MSOP8,N/A,N/A,?,"U12,U13,U14,U15,U16,U17,U18,U19",ADI," ADG902BRMZ",REL,N/A,N/A,N/A,N/A,1003456,?,?
43,1,E057527,IC-TTL SINGLE INVERTER GATE," SN74LVC1GU04DCKT",SC70-5,N/A,N/A,?,U3,TEXAS INSTRUMENTS," SN74LVC1GU04DCKT",REL,N/A,N/A,N/A,N/A,N/A,?,?
44,1,E059234,IC-CMOS 32K I2C SERIAL EEPROM WITH QUARTER-ARRAY WRITE PROTECT," 24AA32AF-I/MS",MSOP8,N/A,N/A,?,U33,MICROCHIP TECHNOLOGY," 24AA32AF-I/MS",REL,N/A,N/A,N/A,N/A,N/A,?,?
45,1,E058509,"IC-ADI CLOCK TIME ALIGNMENT DEVICE, PRELIM"," ADF4030",LGA48_7X7_PAD2_375X2_375,N/A,N/A,?,U4,ANALOG DEVICES," ADF4030",RWC,N/A,N/A,N/A,N/A,N/A,?,?
46,1,E031218,"IC-ADI 40VIN, 3A STEP DOWM SILENT SWITCHER UMODULE REGULATOR"," LTM8053EY#PBF",BGA48H139,N/A,N/A,?,U5,LINEAR TECHNOLOGY," LTM8053EY#PBF",REL,N/A,N/A,N/A,N/A,N/A,?,?
47,2,E029076,"IC-ADI 2A, ULTRALOW NOISE, HIGH PSRR, RF LINEAR REGULATOR, 1.2TO 3.3 VOUT"," ADP7159ACPZ-04-R7",DFN10_3X3_PAD2_38X1_64,N/A,N/A,?,"U6,U9",ANALOG DEVICES," ADP7159ACPZ-04-R7",REL,N/A,N/A,N/A,N/A,N/A,?,?
48,1,E024097,"IC-ADI LOW NOISE, CMOS LDO LINEAR REGULATOR, 1.8VOUT"," ADP7112ACBZ-1.8-R7",WLCSP6_B,N/A,N/A,?,U7,ADI," ADP7112ACBZ-1.8-R7",REL,N/A,N/A,N/A,N/A,N/A,?,?

Callouts File:C:\tmp\20_072704b\worklib\02_072704b_top\bom\callouts.callouts
Mechanical Parts
ITEM#,Qty,WW_PN,DESCRIPTION," VALUE",JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG," MFG_PN",HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
2,2,M017967,"SOCKET, 2POS, 0.100 PITCH,CONN SHUNT BLK OPEN TOP"," ?",JPF1X2L200W100H550P100,?,?,?,?,SAMTEC," SNT-100-BK-G-H",REL,N/A,N/A,N/A,N/A,N/A,?,?
3,2,M000189,"STANDOFF, AL RND, 4-40 X 3/4"," ?",N/A,?,?,?,?,MCMASTER-CARR," 93330A437",REL,A030-0016-003,N/A,N/A,N/A,N/A,?,?
4,2,M042082,"SCREW MACHINE, PAN HEAD PHILLIPS WITH LOCK WASHER, 4-40, 1/4 INCH"," ?",N/A,?,?,?,?,MCMASTER CARR," 95345A023",REL,N/A,N/A,N/A,N/A,N/A,?,?


The following components are part of the PCB or are NOT to be installed
ITEM#,Qty,WW_PN,DESCRIPTION," VALUE",JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG," MFG_PN",HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
 23,9,E003438,RES SMD 0 Ohm JUMPER 1/10W 0402 AEC-Q200," 0",R0402,JUMPER,N/A,1/10W,"R18,R29,R41,R55,R94,R95,R100,R103,R104",PANASONIC," ERJ-2GE0R00X",REL,A003-0021-001,N/A,N/A,1138_CAB3,7000282,?,DNI
 26,1,E030169,RES SMD 0 Ohm 3W 2512," 0",R2512H43,N/A,N/A,3W,R107,TE CONNECTIVITY," 3522ZR",REL,N/A,N/A,N/A,N/A,N/A,?,DNI
 38,1,E004033,RES SMD 200K Ohm 1% 1/10W 0402 AEC-Q200," 200K",R0402,1,N/A,1/10W,R47,PANASONIC," ERJ-2RKF2003X",REL,A003-0035-064,N/A,N/A,1617_CAB3,7006691,?,DNI

