TITLE: Bill of Materials
BOM NO: 05-066733-01-d.csv
DATE: 04/11/2022
DESIGN: 02_066733d_top
TEMPLATE: Z:\allegro\v174_site\cdssetup\template.bom
CALLOUT: 

ITEM#,Qty,WW_PN,DESCRIPTION," VALUE",JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG," MFG_PN",HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
16,2,E034981,CAP CER 4.7uF 10V 10% X5R 0603 AEC-Q200," 4.7uF",C0603,10,10V,N/A,"C38,C185",TAIYO YUDEN," LMK107BJ475KAHT",REL,N/A,N/A,N/A,N/A,N/A,?,?
17,2,E034669,CAP CER 100uF 6.3V 20% X5R 1210 AEC-Q200," 100uF",C1210H106,20,6.3V,N/A,"C19,C20",MURATA," GRT32ER60J107ME13L",REL,N/A,N/A,N/A,N/A,N/A,?,?
18,3,E033329,CAP CER 10uF 50V 10% X7R 1210 AEC-Q200," 10uF",C1210-2,10,50V,N/A,"C190,C203,C205",AVX CORPORATION," 12105C106K4T2A",REL,N/A,N/A,N/A,N/A,N/A,?,?
19,2,E035311,CAP CER 0.22uF 16V 10% X7R 0402 AEC-Q200," 0.22uF",C0402,10,16V,N/A,"C191,C192",MURATA," GCM155R71C224KE02D",REL,N/A,N/A,N/A,N/A,N/A,?,?
20,1,E040139,CAP CER 3.3pF 50V 0.05pF C0G 0402 AEC-Q200 LOW ESR," 3.3pF",C0402,0.05pF,50V,N/A,C193,MURATA," GCQ1555C1H3R3WB01D",REL,N/A,N/A,N/A,N/A,N/A,?,?
21,5,E030857,CAP CER 22uF 10V 10% X7R 1206 AEC-Q200," 22uF",C1206H71,10,10V,N/A,"C194,C197,C224,C227,C230",MURATA," GCM31CR71A226KE02L",REL,N/A,N/A,N/A,N/A,N/A,?,?
22,1,E040140,CAP CER 270pF 50V 10% X7R 0402 AEC-Q200," 270pF",C0402,10,50V,N/A,C195,MURATA," GCM155R71H271KA37D",REL,N/A,N/A,N/A,N/A,N/A,?,?
23,5,E044891,CAP CER 1uF 100V 10% X7R 1206 AEC-Q200," 1uF",C1206H71,10,100V,N/A,"C196,C198,C206,C212,C228",MURATA," GCJ31CR72A105KA01L",REL,N/A,N/A,N/A,N/A,N/A,?,?
24,1,E034252,CAP CER 1500pF 50V 10% X7R 0402 AEC-Q200," 1500pF",C0402,10,50V,N/A,C204,SAMSUNG," CL05B152KB5VPNC",REL,N/A,N/A,N/A,N/A,N/A,?,?
25,1,E031923,CAP CER 0.1uF 25V 10% X7R 0603 AEC-Q200 LOW ESR," 0.1uF",C0603,10,25V,N/A,C207,TDK," CGA3E2X7R1E104K080AA",REL,N/A,N/A,N/A,N/A,N/A,?,?
27,1,E033808,CAP CER 100pF 50V 1% C0G 0402 AEC-Q200," 100pF",C0402,1,50V,N/A,C209,MURATA," GCM1555C1H101FA16D",REL,N/A,N/A,N/A,N/A,N/A,?,?
28,1,E011821,CAP CER 47pF 50V 5% C0G 0402 AEC-Q200," 47pF",C0402,5,50V,N/A,C210,MURATA," GCM1555C1H470JA16D",REL,N/A,N/A,N/A,N/A,7003267,?,?
29,9,E038014,CAP CER 47uF 25V 10% X7R 1210," 47uF",C1210H95,10,25V,N/A,"C211,C213,C214,C216,C217,C219,C221,C223,C226","CAPAX TECHNOLOGIES, INC."," 1210X476K250SNT",REL,N/A,N/A,N/A,N/A,N/A,?,?
30,1,E040073,CAP CER 2.2pF 50V 0.25% C0G 0402 AEC-Q200 LOW ESR," 2.2pF",C0402,0.25,50V,N/A,C220,TDK," CGA2B2C0G1H2R2C050BA",REL,N/A,N/A,N/A,N/A,N/A,?,?
31,3,E026260,CAP CER 4.7uF 35V 10% X7R 0805 AEC-Q200 LOW ESR," 4.7uF",C0805H60,10,35V,N/A,"C222,C225,C231",TDK," CGA4J1X7R1V475K125AC",REL,N/A,N/A,N/A,N/A,N/A,?,?
32,12,E028140,CAP CER 1uF 10V 10% X7S 0402 AEC-Q200," 1uF",C0402,10,10V,N/A,"C27,C41,C43,C48,C51,C53,C56,C61,C66,C232,C233,C254",MURATA," GCM155C71A105KE38D",REL,N/A,N/A,N/A,N/A,N/A,?,?
33,1,E024302,CAP CER 100pF 50V 5% C0G 0402 AEC-Q200," 100pF",C0402,5,50V,N/A,C4,MURATA," GCM1555C1H101JA16D",REL,N/A,N/A,N/A,N/A,7000684,?,?
34,1,E040427,"DIO TVS QUAD LINE FOR ESD PROTECTION, AUTOMOTIVE"," ESDA6V1SC6Y",SOT23_6-3,N/A,5.2V,N/A,D1,ST MICROELECTRONICS," ESDA6V1SC6Y",REL,N/A,N/A,N/A,N/A,N/A,?,?
35,2,E045024,DIO TVS HIGH POWER UNIDIRECTIONAL 22V 35A," ESDA25P35-1U1M",DFN2_1_6X1,N/A,22V,1400W,"D15,D18",ST MICROELECTRONICS," ESDA25P35-1U1M",REL,N/A,N/A,N/A,N/A,N/A,?,?
36,1,E044405,DIO SCHOTTKY RECTIFIER 100V 3A AUTOMOTIVE," NRVTSA3100ET3G",SMA,N/A,100V,N/A,D16,ONSEMI," NRVTSA3100ET3G",REL,N/A,N/A,N/A,N/A,N/A,?,?
37,1,E045025,DIO TVS ARRAY FOR DATA PROTECTION 24V," ESDA25W5",SC70-5_A,N/A,24V,150W,D17,ST MICROELECTRONICS," ESDA25W5",REL,N/A,N/A,N/A,N/A,N/A,?,?
38,1,E040100,"DIO ESD PROTECTION, LOW CAPACITANCE FOR HIGH SPEED DATA"," SZESD7004MUTAG",UDFN10_2_5X1,N/A,N/A,N/A,D2,ONSEMI," SZESD7004MUTAG",REL,N/A,N/A,N/A,N/A,N/A,?,?
39,4,E040424,LED GREEN 2.1V 0603," SML-D13FWT86C",LED0603-2,N/A,2.1V,N/A,"DS1,DS2,DS3,DS4",ROHM," SML-D13FWT86C",REL,N/A,N/A,N/A,N/A,N/A,?,?
40,2,E040428,LED RED 615NM AUTOMOTIVE," SML-D14U2WT86C",LED0603_A,N/A,2V,N/A,"DS5,DS6",ROHM," SML-D14U2WT86C",REL,N/A,N/A,N/A,N/A,N/A,?,?
41,2,E027232,LED SMARTLED 591NM YELLOW," LY L296-Q2R2-26-Z",LED0603-2,N/A,2V,N/A,"DS7,DS8",OSRAM OPTO SEMICONDUCTORS," LY L296-Q2R2-26-Z",REL,N/A,N/A,N/A,N/A,7001314,?,?
42,1,E019012,IND FERRITE CHIP BEAD," 600OHM",L1206,25,N/A,N/A,E1,LAIRD TECHNOLOGIES," HZ1206E601R-10",REL,N/A,N/A,N/A,N/A,N/A,?,?
43,2,E011145,FLTR EMI (LC COMBINED TYPE) 2606," 4700pF",F2606,-4,50V,N/A,"FL1,FL2",MURATA MANUFACTURING," NFE61PT472C1H9L",REL,N/A,40602DG050,N/A,N/A,N/A,?,?
44,3,E041063,"CONN-PCB 100POS HIGH SPEED HERMAPHRODITIC STRIP, 0.635MM PITCH AUTOMOTIVE"," A-LSS-150-01-L-DV-A-K",CNSAMTECLSS-150-01-X-DV-A,N/A,N/A,N/A,"J1,J2,J3",SAMTEC INC.," A-LSS-150-01-L-DV-A-K",REL,N/A,N/A,N/A,N/A,N/A,?,?
45,1,E044652,"CONN-PCB 3POS MALE HDR SINGLE ROW 0.64MM SQ POST, 5.84MM POST HEIGHT, 2.54MM PITCH"," TSM-103-01-H-SV",CNSMMHDR1X3L300W100H403,N/A,N/A,N/A,JP1,SAMTEC INC.," TSM-103-01-H-SV",REL,N/A,N/A,N/A,N/A,N/A,?,?
46,1,E028516,"IND WIREWOUND CHIP, 0.75A, 0.38OHM DCR"," 10UH",L1210H67,20,N/A,N/A,L1,MURATA," LQH32PN100MN0K",REL,N/A,N/A,N/A,N/A,N/A,?,?
47,1,E046177,"IND SHIELDED POWER, 0.0018OHM DCR, 25.8A AEC-Q200"," 0.1UH",LSMSQ157H122,20,N/A,N/A,L2,COILCRAFT INC.," XEL4030-101MEC",REL,N/A,N/A,N/A,N/A,N/A,?,?
48,1,E018077,IND SHIELDED POWER," 1uH",LSML208W216H122,20,N/A,N/A,L3,COILCRAFT," XAL5030-102MEB",REL,N/A,N/A,N/A,N/A,7004777,?,?
49,1,E032809,"IND SHIELDED POWER, 0.0064OHM DCR, 16.8A"," 220NH",LSMSQ157H83_A,20,N/A,N/A,L4,COILCRAFT INC.," XAL4020-221MEB",REL,N/A,N/A,N/A,N/A,N/A,?,?
50,1,E043638,CONN-PCB USB 3.1 TYPE C RECEPTACLE HORIZONTAL," 632723300011",CNWURTH632723300011,N/A,N/A,N/A,P1,WURTH ELEKTRONIK," 632723300011",REL,N/A,N/A,N/A,N/A,N/A,?,?
51,1,E027236,CONN-PCB SHROUDED AND EJECTOR IDC HDR VERT 1.27MM PITCH," SHF-105-01-L-D-TH-TR",CNTHMHDR2X5L500W200H215,N/A,N/A,N/A,P6,SAMTEC INC.," SHF-105-01-L-D-TH-TR",REL,N/A,N/A,N/A,N/A,6003603,?,?
52,2,E044541,TRAN P-CHANNEL MOSFET 30V 6A POWERFLAT," STL6P3LLH6",POWERFLAT_33X33,N/A,30V,2.9W,"Q4,Q5",ST MICROELECTRONICS," STL6P3LLH6",REL,N/A,N/A,N/A,N/A,N/A,?,?
53,1,E040037,RES SMD 34 Ohm 1% 1/10W 0402 AEC-Q200," 34",R0402,1,N/A,1/10W,R1,PANASONIC," ERJ-2RKF34R0X",REL,N/A,N/A,N/A,N/A,N/A,?,?
54,4,E003763,RES SMD 1K Ohm 1% 1/10W 0402 AEC-Q200," 1K",R0402,1,N/A,1/10W,"R9,R10,R11,R146",PANASONIC," ERJ-2RKF1001X",REL,A003-0035-019,N/A,N/A,751_CAB3,7001202,?,?
55,7,E003796,RES SMD 100K Ohm 1% 1/10W 0402 AEC-Q200," 100K",R0402,1,N/A,1/10W,"R96,R99,R100,R104,R105,R107,R108",PANASONIC," ERJ-2RKF1003X",REL,A003-0035-053,41816DG575,N/A,1422_CAB3,N/A,?,?
57,1,E041184,RES SMD 91K Ohm 0.1% 1/16W 0402 AEC-Q200 HIGH RELIABILITY," 91K",R0402,0.1,N/A,1/16W,R102,PANASONIC," ERA-2AEB913X",REL,N/A,N/A,N/A,N/A,N/A,?,?
58,1,E029209,RES SMD 9K Ohm 0.1% 1/8W 0805 HIGH PRECISION - HIGH STABILITY," 9K",R0805,0.1,N/A,1/8W,R103,YAGEO," RT0805BRE079KL",REL,N/A,N/A,N/A,N/A,N/A,?,?
59,1,E022008,RES SMD 41.2K Ohm 1% 1/10W 0402 AEC-Q200," 41.2K",R0402,1,N/A,1/10W,R106,PANASONIC," ERJ-2RKF4122X",REL,N/A,N/A,N/A,N/A,N/A,?,?
60,1,E003771,RES SMD 56.2K Ohm 1% 1/10W 0402 AEC-Q200," 56.2K",R0402,1,N/A,1/10W,R109,PANASONIC," ERJ-2RKF5622X",REL,A003-0035-028,41816JH1195,N/A,1616_CAB3,7008065,?,?
61,3,E003452,RES SMD 33 Ohm 5% 1/10W 0402 AEC-Q200," 33",R0402,5,N/A,1/10W,"R49,R52,R110",PANASONIC," ERJ-2GEJ330X",REL,A003-0021-016,41816DG861,N/A,N/A,N/A,?,?
63,1,E026014,RES SMD 6.98K Ohm 1% 1/10W 0402 AEC-Q200," 6.98K",R0402,1,N/A,1/10W,R113,PANASONIC," ERJ-2RKF6981X",REL,N/A,N/A,N/A,N/A,N/A,?,?
65,10,E027220,RES SMD 100K Ohm 5% 1/16W 0402 AEC-Q200," 100K",R0402,5,N/A,1/16W,"R54,R56,R82,R84,R115,R116,R125,R126,R127,R128",VISHAY," CRCW0402100KJNED",REL,N/A,N/A,N/A,N/A,7000590,?,?
66,33,E003751,RES SMD 10K Ohm 1% 1/10W 0402 AEC-Q200," 10K",R0402,1,N/A,1/10W,"R8,R24,R25,R26,R46,R47,R48,R50,R51,R60,R61,R62,R63,R68,R70,R71,R75,R79,R86,R87,R118,R120,R121,R122,R131,R132,R133,R134,R135,R138,R139,R140,R143",PANASONIC," ERJ-2RKF1002X",REL,A003-0035-004,41816DG719,N/A,N/A,7000582,?,?
68,3,E016329,RES SMD 100 Ohm 1% 1/10W 0402 AEC-Q200," 100",R0402,1,N/A,1/10W,"R12,R13,R65",PANASONIC," ERJ-2RKF1000X",REL,N/A,N/A,N/A,N/A,7005699,?,?
69,1,E042472,RES SMD 470 OHM 1% 1/10W 0402 AEC-Q200," 470",R0402,1,N/A,1/10W,R123,PANASONIC," ERJ-2RKF4700X",REL,N/A,N/A,N/A,N/A,N/A,?,?
70,1,E020936,RES SMD 1K Ohm 5% 1/16W 0402," 1K",R0402,5,N/A,1/16W,R124,YAGEO," RC0402JR-071KL",REL,N/A,N/A,N/A,N/A,N/A,?,?
71,1,E018369,RES SMD 22K Ohm 1% 1/16W 0402," 22K",R0402,1,N/A,1/16W,R129,YAGEO," RC0402FR-0722KL",REL,N/A,N/A,N/A,1615_CAB3,7006839,?,?
72,1,E003760,RES SMD 100 Ohm 1% 1/16W 0402," 100",R0402,1,N/A,1/16W,R130,VENKEL," CR0402-16W-1000FPT",REL,A003-0035-014,N/A,N/A,749_CAB3,N/A,?,?
73,2,E010034,RES SMD 3.3K Ohm 1% 1/10W 0402 AEC-Q200," 3.3K",R0402,1,50V,1/10W,"R136,R137",PANASONIC," ERJ-2RKF3301X",REL,N/A,N/A,N/A,N/A,7007123,?,?
74,2,E003446,RES SMD 2.2K Ohm 5% 1/10W 0402 AEC-Q200," 2.2K",R0402,5,N/A,1/10W,"R14,R15",PANASONIC," ERJ-2GEJ222X",REL,A003-0021-010,41816DG1249,N/A,1420_CAB3,N/A,?,?
75,19,E030866,RES SMD 0 Ohm JUMPER 1/5W 0402 AEC-Q200," 0",R0402,JUMPER,N/A,1/5W,"R16,R18,R19,R27,R28,R29,R33,R38,R41,R42,R43,R44,R45,R58,R85,R88,R141,R142,R144",VISHAY," CRCW04020000Z0EDHP",REL,N/A,N/A,N/A,N/A,N/A,?,?
76,1,E020520,RES SMD 20 Ohm 1% 1/10W 0402 AEC-Q200," 20",R0402,1,N/A,1/10W,R17,PANASONIC," ERJ-2RKF20R0X",REL,N/A,N/A,N/A,N/A,N/A,?,?
77,1,E003752,RES SMD 2K Ohm 1% 1/10W 0402 AEC-Q200," 2K",R0402,1,N/A,1/10W,R2,PANASONIC," ERJ-2RKF2001X",REL,A003-0035-005,N/A,N/A,N/A,N/A,?,?
78,2,E007439,RES SMD 1.2K Ohm 1% 1/10W 0402 AEC-Q200," 1.2K",R0402,1,N/A,1/10W,"R20,R21",PANASONIC," ERJ-2RKF1201X",REL,N/A,N/A,N/A,N/A,N/A,?,?
79,2,E019889,RES SMD 499K Ohm 1% 1/10W 0402 AEC-Q200," 499K",R0402,1,N/A,1/10W,"R22,R23",PANASONIC," ERJ-2RKF4993X",REL,N/A,N/A,N/A,N/A,N/A,?,?
80,1,E022007,RES SMD 200 Ohm 0.5% 1/16W 0402 AEC-Q200 HIGH RELIABILITY," 200",R0402,0.5,N/A,1/16W,R3,PANASONIC," ERA-2AED201X",REL,N/A,N/A,N/A,N/A,N/A,?,?
81,1,E027299,RES SMD 3.01K Ohm 1% 1/10W 0402 AEC-Q200," 3.01K",R0402,1,N/A,1/10W,R30,PANASONIC," ERJ-2RKF3011X",REL,N/A,N/A,N/A,N/A,N/A,?,?
82,1,E003782,RES SMD 1.5K Ohm 1% 1/10W 0402 AEC-Q200," 1.5K",R0402,1,N/A,1/10W,R31,PANASONIC," ERJ-2RKF1501X",REL,A003-0035-039,41816DG1293,N/A,N/A,N/A,?,?
83,1,E010877,RES SMD 240 Ohm 1% 1/10W 0402 AEC-Q200," 240",R0402,1,N/A,1/10W,R4,PANASONIC," ERJ-2RKF2400X",REL,N/A,N/A,N/A,1611_CAB3,7006893,?,?
84,8,E021894,RES SMD 330 Ohm 1% 1/16W 0402 AEC-Q200," 330",R0402,1,N/A,1/16W,"R59,R72,R73,R74,R76,R77,R89,R90",VISHAY," CRCW0402330RFKED",REL,N/A,N/A,N/A,N/A,N/A,?,?
85,2,E010267,RES SMD 5.1K Ohm 0.1% 1/16W 0402 AEC-Q200 HIGH RELIABILITY," 5.1K",R0402,0.1,25V,1/16W,"R6,R66",PANASONIC," ERA-2AEB512X",REL,A003-0093-008,41816DG1569,N/A,N/A,N/A,?,?
87,1,E010093,RES SMD 0 Ohm 5% 1/4W 1206 AEC-Q200," 0",R1206,5,200V,1/4W,R67,VISHAY," CRCW12060000Z0EA",REL,N/A,N/A,N/A,N/A,7000021,?,?
88,1,E030873,RES SMD 1MEG Ohm 1% 1/10W 0603 AEC-Q200," 1MEG",R0603,1,N/A,1/10W,R80,VISHAY," CRCW06031M00FKEA",REL,N/A,N/A,N/A,N/A,N/A,?,?
89,1,E017173,RES SMD 37.4K Ohm 1% 1/10W 0402 AEC-Q200," 37.4K",R0402,1,N/A,1/10W,R91,PANASONIC," ERJ-2RKF3742X",REL,N/A,N/A,N/A,N/A,N/A,?,?
90,2,E003438,RES SMD 0 Ohm JUMPER 1/10W 0402 AEC-Q200," 0",R0402,JUMPER,N/A,1/10W,"R92,R94",PANASONIC," ERJ-2GE0R00X",REL,A003-0021-001,N/A,N/A,1138_CAB3,7000282,?,?
92,1,E016739,RES SMD 38.3K Ohm 1% 1/10W 0402 AEC-Q200," 38.3K",R0402,1,N/A,1/10W,R95,PANASONIC," ERJ-2RKF3832X",REL,N/A,N/A,N/A,N/A,7007402,?,?
94,1,E023709,RES SMD 15.8K Ohm 0.1% 1/16W 0402 AEC-Q200 HIGH RELIABILITY," 15.8K",R0402,0.1,N/A,1/16W,R98,PANASONIC," ERA-2AEB1582X",REL,N/A,N/A,N/A,N/A,N/A,?,?
95,7,E046239,"RES SMD NTWRK 100 OHM 5% 0.063W 0804, 8PIN/4RES AEC-Q200 ISOLATED"," 100",RESNET8,5,N/A,0.063W,"RN1,RN2,RN3,RN4,RN5,RN6,RN7",PANASONIC," EXB-28V101JX",REL,N/A,N/A,N/A,N/A,N/A,?,?
96,1,E040089,SWITCH ROTARY DIP BCD 0.15A," RDTAR10S1R",SWSMSQ394H268,N/A,42V,N/A,S1,"E-SWITCH, INC."," RDTAR10S1R",REL,N/A,N/A,N/A,N/A,N/A,?,?
97,1,E040082,SWITCH TACTILE SPST-NO 0.01A 32V," KMR223GLFG",SWSML165W110H75,N/A,32V,N/A,S2,C&K," KMR223GLFG",REL,N/A,N/A,N/A,N/A,N/A,?,?
99,1,E049100,"IC-ADI SHARC+ SINGLE CORE HIGH PERF DSP WITH ARM CORTEX-A5, PRELIM"," ADSP-SC598-BPZENG",CSPBGA400_17X17,N/A,N/A,?,U1,ANALOG DEVICES," ADSP-SC598-BPZENG",RWC,N/A,N/A,N/A,N/A,N/A,?,?
100,3,E040081,IC-TTL LOW VOLT SINGLE FET BUS SWITCH," 74CBTLV1G125DBVRQ1",SOT23-5L-2,N/A,N/A,?,"U5,U9,U10",TEXAS INSTRUMENTS," 74CBTLV1G125DBVRQ1",REL,N/A,N/A,N/A,N/A,N/A,?,?
101,2,E040048,IC-TTL SINGLE 2-INPUT POSITIVE AND GATE," SN74LVC1G08QDBVRQ1",SOT23-5L-2,N/A,N/A,?,"U11,U13",TEXAS INSTRUMENTS," SN74LVC1G08QDBVRQ1",REL,N/A,N/A,N/A,N/A,N/A,?,?
102,6,E050248,IC-CMOS QUAD FET BUS SWITCH," SN74CB3T3125RGYR",QFN14_3_5X3_5_PAD2_05X2_05,N/A,N/A,?,"U12,U20,U21,U22,U23,U25",TEXAS INSTRUMENTS," SN74CB3T3125RGYR",REL,N/A,N/A,N/A,N/A,N/A,?,?
103,1,E027659,IC-ADI OPEN-DRAIN MICROPROCESSOR SUPERVISORY CKT," ADM6315-29D2ARTZR7",SOT143A,N/A,N/A,?,U14,ANALOG DEVICES," ADM6315-29D2ARTZR7",REL,N/A,N/A,N/A,N/A,30-026367-01,?,?
104,1,E018265,IC USB SERIAL UART," FT232RQ",QFN32_5X5_PAD3_2X3_2,N/A,N/A,?,U15,FTDI CHIP," FT232RQ",REL,N/A,N/A,N/A,N/A,1004457,?,?
105,1,E045269,"IC-ADI 5V, 10A SYCHRONOUS STEP-DOWN SILENT SWITCHER 2, AEC-Q100"," LTC3310JV#WPBF",QFN18_3X3_PAD1_51X1_7,N/A,N/A,?,U16,ANALOG DEVICES," LTC3310JV#WPBF",REL,N/A,N/A,N/A,N/A,N/A,?,?
106,1,E042057,"IC-ADI 5V, 3A SYNCHRONOUS STEP-DOWN SILENT SWITCHER AUTOMOTIVE"," LTC3307AHV#WTRMPBF",QFN12_2X2_PAD0_7X0_7,N/A,N/A,?,U17,ANALOG DEVICES," LTC3307AHV#WTRMPBF",REL,N/A,N/A,N/A,N/A,N/A,?,?
107,1,E013337,IC-ADI CMOS LIN REG LDO 1.8V," ADP151AUJZ-1.8-R7",TSOT-5,N/A,2.2V TO 5.5V,?,U18,ADI," ADP151AUJZ-1.8-R7",REL,N/A,N/A,N/A,N/A,1003664,?,?
108,1,E049414,IC 4GB EMMC 5.0 INTERFACE," IS21ES04G",BGA153_13X11_50,N/A,N/A,?,U19,ISSI," IS21ES04G-JCLI",REL,N/A,N/A,N/A,N/A,N/A,?,?
109,1,E050642,IC 3A HIGH SPEED LOW V DDR TERMINATOR," MIC5166YML-TR",DFN10_3X3_PAD2_4X1_7,N/A,N/A,?,U2,MICROCHIP TECHNOLOGY," MIC5166YML-TR",REL,N/A,N/A,N/A,N/A,N/A,?,?
110,1,E030235,IC 16-BIT I/O EXPANDER WITH OPEN-DRAIN OUTPUTS," MCP23018-E/MJ",QFN24_4X4_PAD2_5X2_5,N/A,N/A,?,U24,MICROCHIP TECHNOLOGY," MCP23018-E/MJ",REL,N/A,N/A,N/A,N/A,N/A,?,?
111,1,E035648,IC 1K I2C SERIAL EEPROM," 24AA01T-I/OT",SOT23-5L-2,N/A,N/A,?,U26,MICROCHIP TECHNOLOGY," 24AA01T-I/OT",REL,N/A,N/A,N/A,N/A,N/A,?,?
113,1,E040080,IC 512MB SERIAL FLASH MEMORY 133MHZ MULTI I/O SPI & QUAD I/O QPI DTR INTERFACE," IS25LP512M-RMLA3",SO16WB,N/A,N/A,?,U4,ISSI," IS25LP512M-RMLA3",REL,N/A,N/A,N/A,N/A,N/A,?,?
115,1,E040333,"IC-CMOS HIGH BANDWIDTH, 4-BIT 2-PORT BUS SWITCH"," PI3C3125LEX",TSSOP14,N/A,N/A,?,U7,DIODES INCORPORATED," PI3C3125LEX",REL,N/A,N/A,N/A,N/A,N/A,?,?
116,1,E057159,IC DRAM 4G 256MX16 1.35V DDR3L," IS43TR16256BL-107MBL",BGA96_13X9,N/A,N/A,?,U8,ISSI," IS43TR16256BL-107MBL",?,N/A,N/A,N/A,N/A,N/A,?,?
