TITLE: Bill of Materials
BOM NO: 05_040335-b.csv
DATE: 07/01/2016
DESIGN: 02_040335b_top
TEMPLATE: Z:\allegro\v166_site\cdssetup\template.bom
CALLOUT: C:\tmp\20_040335b\worklib\02_040335b_top\bom\bom.callouts

ITEM#,Qty,WW_PN,DESCRIPTION," VALUE",JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG," MFG_PN",HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
28,3,E006383,CONN-PCB BERG HDR DOUBLE STR MALE 6P," TSW-103-08-G-D",CNSAMTEC2X3H330LD36,?,?,?,P303-P305,SAMTEC," TSW-103-08-G-D",REL,ADD_TO_STOCK_1,?,?,?,6002406,?,?
29,1,E000737,CONN-PCB BERG HDR ST MALE 14P," TSW-107-08-G-D",CNBERG2X7H330LD36,?,?,?,P306,SAMTEC," TSW-107-08-G-D",REL,A012-0003-045,?,?,?,6002430,?,?
30,1,E006314,CONN-PCB DC POWER JACK TH," PJ-102A",CNCUI-PJ-102A,?,?,?,P700,CUI," PJ-102A",REL,A012-0020-015,40313JH120,?,1451_CAB3,6002241,?,?
31,31,E003438,RES CHIP SMD JMPR," 0",R0402,5,?,1/16W,"R2,R102,R103,R117,R202,R210,R221,R243-R245,R328-R333,R350,R605,R613,R621,R629,R637,R645,R653,R661,R670,R671,R679,R680,R688,R689",PANASONIC," ERJ-2GE0R00X",REL,A003-0021-001,?,?,1138_CAB3,7000282,?,?
32,15,E003763,RES PRECISION THICK FILM CHIP R0402," 1K",R0402,1,?,1/10W,"R119-R125,R300,R302,R310-R315",PANASONIC," ERJ-2RKF1001X",PREF,A003-0035-019,?,?,751_CAB3,7001202,?,?
34,1,E003462,RES FILM SMD 0402," 330",R0402,5,?,1/16W,R222,PANASONIC," ERJ-2GEJ331X",REL,A003-0021-026,41816JH1133,?,1138_CAB3,7007297,?,?
35,3,E003751,RES PRECISION THICK FILM CHIP R0402," 10K",R0402,1,?,1/16W,"R228,R229,R241",PANASONIC," ERJ-2RKF1002X",PREF,A003-0035-004,41816DG719,?,751_CAB3,7000582,?,?
36,11,E003750,RES PRECISION THICK FILM CHIP R0402," 49.9",R0402,1,?,1/16W,"R230,R231,R233,R234,R237,R668,R669,R677,R678,R683,R684",PANASONIC," ERJ-2RKF49R9X",PREF,A003-0035-003,41816DG208,?,1023_CAB3,7007757,?,?
39,1,E003749,RES PRECISION THICK FILM CHIP R0402," 1MEG",R0402,1,?,1/16W,R301,PANASONIC," ERJ-2RKF1004X",PREF,A003-0035-002,?,?,1686_CAB3,?,?,?
40,2,E003446,RES FILM SMD 0402," 2.2K",R0402,5,?,1/16W,"R304,R305",PANASONIC," ERJ-2GEJ222X",REL,A003-0021-010,41816DG1249,?,1420_CAB3,?,?,?
41,2,E003796,RES PRECISION THICK FILM CHIP R0402," 100K",R0402,1,?,1/16W,"R306,R307",PANASONIC," ERJ-2RKF1003X",PREF,A003-0035-053,41816DG575,?,1422_CAB3,?,?,?
42,1,E004033,RES PRECISION THICK FILM CHIP R0402," 200K",R0402,1,?,1/16W,R321,PANASONIC," ERJ-2RKF2003X",PREF,A003-0035-064,?,?,1617_CAB3,7006691,?,?
43,13,E003782,RES PRECISION THICK FILM CHIP R0402," 1.5K",R0402,1,?,1/16W,"R322-R324,R326,R334-R340,R351,R352",PANASONIC," ERJ-2RKF1501X",PREF,A003-0035-039,41816DG1293,?,?,?,?,?
45,6,E020519,RES PRECISION THICK FILM CHIP," 33",R0402,1,?,1/10W,R341-R346,PANASONIC," ERJ-2RKF33R0X",REL,?,?,?,?,?,?,?
46,4,E006640,RES FILM SMD 0402," 820",R0402,5,?,1/16W,"R401,R405,R409,R413",PANASONIC," ERJ-2GEJ821X",REL,A003-0021-034,?,?,?,7008445,?,?
47,4,E017175,RES THICK FILM CHIP," 1.8K",R0402,5,?,1/10W,"R402,R406,R410,R414",PANASONIC," ERJ-2GEJ182X",REL,?,?,?,?,7001781,?,?
48,4,E014697,RES PRECISION THICK FILM CHIP," 3.9K",R0402,1,?,1/10W,"R403,R407,R411,R415",PANASONIC," ERJ-2RKF3901X",REL,?,?,?,?,7007165,?,?
49,4,E007570,RES FILM SMD 0402," 8.2K",R0402,5,?,1/16W,"R404,R408,R412,R416",PANASONIC," ERJ-2GEJ822X",REL,?,?,?,?,7008395,?,?
50,8,E003760,RES FILM SMD 0402," 100",R0402,1,?,1/16W,"R602,R610,R618,R626,R634,R642,R650,R658",VENKEL," CR0402-16W-1000FPT",REL,A003-0035-014,?,?,749_CAB3,?,?,?
51,3,E006353,RES PRECISION THICK FILM CHIP R0402," 40.2K",R0402,1,?,1/16W,"R703,R707,R712",PANASONIC," ERJ-2RKF4022X",PREF,ADD_TO_STOCK439,?,?,?,7007574,?,?
52,1,E007862,RES PRECISION THICK FILM CHIP R0402," 8.66K",R0402,1,?,1/16W,R704,PANASONIC," ERJ-2RKF8661X",PREF,ADD_TO_STOCK,?,?,?,7008404,?,?
53,2,E013080,RES PRECISION THICK FILM CHIP," 51K",R0402,1,?,1/10W,"R708,R714",PANASONIC," ERJ-2RKF5102X",PREF,?,?,?,?,7008017,?,?
54,1,E010876,RES PRECISION THICK FILM CHIP 0402," 16.9K",R0402,1,50V,1/16W,R709,PANASONIC," ERJ-2RKF1692X",PREF,?,41816JH1433,?,?,7006350,?,?
55,1,E003796,RES PRECISION THICK FILM CHIP R0402," 100K",R0402,1,?,1/16W,R713,PANASONIC," ERJ-2RKF1003X",PREF,A003-0035-053,41816DG575,?,1422_CAB3,7008418,?,?
56,1,E020530,RES THICK FILM CHIP," 1",R0402,1,?,1/6W,R715,PANASONIC," ERJ-2BQF1R0X",REL,?,?,?,?,7005414,?,?
57,1,E004449,RES THICK FILM CHIP," 0",R0805,N/A,?,1/8W,R719,PANASONIC," ERJ-6GEY0R00V",REL,A003-0027-022,?,?,207_CAB3,?,?,?
58,1,E011086,SWITCH KEY 4MM SQ SMD J-HOOK," 7914J-1-000E",SWSMSQ197H165,?,?,?,S100,BOURNS INC," 7914J-1-000E",REL,?,?,?,?,6003195,?,?
59,10,E006308,XFMR RF 1:1," MABA-007159-000000",ETC1,?,?,?,"T201,T202,T601-T608",MACOM," MABA-007159-000000",REL,A005-0001-133,?,?,1038_CAB3,?,?,?
61,1,E022736,IC-ADI ETHERNET/GIGABIT ETHERNET CLOCK GENERATOR PRELIM," AD9576XCPZ",QFN64_9X9_PAD6_2X6_2,?,?,?,U100,ADI," AD9576XCPZ",RWC,?,?,?,?,?,?,?
62,1,E005984,IC EZ-USB FX USB MICROCONTROLLER," CY7C68013A-56PVXC",SSOP56,?,?,?,U300,CYPRESS SEMICONDUCTOR," CY7C68013A-56PVXC",REL,?,?,?,?,1004320,?,?
63,1,E002273,IC-TTL OCTAL BUFFER/DRVR W/3 STATE OUT," 74LVC541APW",TSSOP20,?,?,?,U301,TEXAS INSTRUMENTS," SN74LVC541APW",REL,A005-0012-144,40901JH526,?,?,1001529,?,?
64,1,E022498,IC 32KBIT SERIAL EEPROM," 24LC32A-I/SM",SO8_A,?,?,?,U302,MICROCHIP TECHNOLOGY," 24LC32A-I/SM",REL,?,?,?,?,?,?,?
65,1,E021387,IC BIDIR VOLTAGE-LEVEL TRANSLATOR," NVT2008BQ",QFN20_4_5X2_5_PAD3X1,?,?,?,U303,NXP SEMICONDUCTORS," NVT2008BQ",REL,?,?,ADD_TO_STOCK,?,?,?,?
66,2,E013639,IC-ADI NONSYNC STEP-DOWN DC-DC," ADP2300AUJZ",TSOT23_6,?,?,?,"U700,U701",ANALOG DEVICES," ADP2300AUJZ",REL,?,?,?,?,1003768,?,?
67,1,E019870,"IC-ADI 800mA, ULTRA LOW NOISE, HIGH PSRR, RF LINEAR REG"," ADM7151ARDZ-02",SO8NB-PAD3_1X2_41,?,?,?,U702,ADI," ADM7151ARDZ-02",REL,?,?,?,?,?,?,?
68,1,E013341,IC-ADI CMOS LIN REG LDO 3.3V," ADP151AUJZ-3.3-R7",TSOT-5,?,5.5V,?,U703,ADI," ADP151AUJZ-3.3-R7",REL,?,?,?,?,?,?,?
69,3,E018513,IC CRYSTAL SMD 3225," 25MEGHz",XTALNX3225,30,?,?,"Y201,Y203,Y205",TAITIEN," A0145-X-001-3",REL,?,?,?,?,1006387,?,?
70,3,E018518,IC CRYSTAL XO CMOS," 25.000MEGHZ",YSML126W98H41,?,?,?,"Y202,Y204,Y206",TAITIEN," A0145-L-006-3",REL,?,?,?,?,1006370,?,?
71,1,E005996,IC CRYSTAL," 24.000MEGHz",XTALCSM-7,?,?,?,Y300,ECS," ECS-240-12-5PX",REL,ADD_TO_STOCK_1,40355JH041,?,?,1006353,?,?

Callouts File:C:\tmp\20_040335b\worklib\02_040335b_top\bom\bom.callouts
Mechanical Parts
ITEM#,Qty,WW_PN,DESCRIPTION," VALUE",JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG," MFG_PN",HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
2,1,M022732,"CABLE, 6FT USB 2.0 A MALE TO B MALE 28/24AWG (GOLD PLATED)"," ?",?,?,?,?,?,MONOPRICE," 5438",?,?,?,?,?,?,?,?
3,1,M022745,"ADAPTER, AC/DC WALL MOUNT 12W, 6VDC 2A"," ?",?,?,?,?,?,ROYAL ACCESS INC.," FY0602000",?,?,?,?,?,?,?,?
4,5,M012273,"MODULE, MOLDED SHAPES SJ SERIES"," ?",?,?,?,?,?,3M," SJ-5518",?,?,?,73017022,?,?,?,?
5,50,M017967,"SOCKET, 2POS, 0.100 PITCH,CONN SHUNT WITH HANDLE"," ?",JPF1X2L200W100H550P100,?,?,?,?,SAMTEC," SNT-100-BK-G-H",?,?,?,?,?,?,?,?


The following components are part of the PCB or are NOT to be installed
ITEM#,Qty,WW_PN,DESCRIPTION," VALUE",JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG," MFG_PN",HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
 2,2,E007200,CAP CER X7R 0402," 0.1UF",C0402,10,16V,?,"C1,C143",MURATA," GRM155R71C104KA88D",REL,A004-0011-066,?,?,49_CAB3,?,?,DNI
 19,2,E000916,CONN-PCB COAX SMA ST," 142-0701-201",CNJOHNSON142-0701-201,?,?,?,"J202,J203",JOHNSON," 142-0701-201",REL,A012-0001-033,40313JH541,?,?,?,?,DNI
 21,8,E014551,CONN-PCB SMA 50 OHM END LAUNCH JACK RCPT," 142-0701-851",CNSMAL562W375H166,?,?,?,"J602,J604,J606,J608,J610,J612,J614,J616",CINCH," 142-0701-851",REL,?,?,?,?,?,?,DNI
 33,36,E003438,RES CHIP SMD JMPR," 0",R0402,5,?,1/16W,"R201,R203,R204,R211-R213,R604,R606,R607,R612,R614,R615,R620,R622,R623,R628,R630,R631,R636,R638,R639,R644,R646,R647,R652,R654,R655,R660,R662,R663,R672,R673,R681,R682,R690,R691",PANASONIC," ERJ-2GE0R00X",REL,A003-0021-001,?,?,1138_CAB3,7000282,?,DNI
 37,9,E003760,RES FILM SMD 0402," 100",R0402,1,?,1/16W,"R232,R235,R238,R354-R356,R666,R675,R686",VENKEL," CR0402-16W-1000FPT",REL,A003-0035-014,?,?,749_CAB3,?,?,DNI
 38,7,E003750,RES PRECISION THICK FILM CHIP R0402," 49.9",R0402,1,?,1/16W,"R236,R665,R667,R674,R676,R685,R687",PANASONIC," ERJ-2RKF49R9X",PREF,A003-0035-003,41816DG208,?,1023_CAB3,7007757,?,DNI
 44,2,E003782,RES PRECISION THICK FILM CHIP R0402," 1.5K",R0402,1,?,1/16W,"R325,R327",PANASONIC," ERJ-2RKF1501X",PREF,A003-0035-039,41816DG1293,?,?,?,?,DNI
 60,4,E006308,XFMR RF 1:1," MABA-007159-000000",ETC1,?,?,?,"T203,T609-T611",MACOM," MABA-007159-000000",REL,A005-0001-133,?,?,1038_CAB3,?,?,DNI

