Entity Display Name,Entity Logical Name,Logical Name,Schema Name,Display Name,Attribute Type,Description,Custom Attribute,Type,Required Level,Additional data,,
Contact,contact,msdyn_isminor,msdyn_isminor,Is Minor,Two options,Indicates that the contact is considered a minor in their jurisdiction.,True,Simple,None,"True: Yes
False: No
Default Value: False",,
Contact,contact,msdyn_isminorname,msdyn_isminorName,N/A,Virtual,N/A,True,Simple,None,,,
Contact,contact,msdyn_isminorwithparentalconsent,msdyn_isminorwithparentalconsent,Is Minor with Parental Consent,Two options,Indicates that the contact is considered a minor in their jurisdiction and has parental consent.,True,Simple,None,"True: Yes
False: No
Default Value: False",,
Contact,contact,msdyn_isminorwithparentalconsentname,msdyn_isminorwithparentalconsentName,N/A,Virtual,N/A,True,Simple,None,,,
Contact,contact,msdyn_origincorrelationid,msdyn_origincorrelationid,Origin correlation ID,Text,An optional identifier to correlate record with data origin.,True,Simple,None,"Format: Text
Max length: 100",,
Contact,contact,msdyn_portaltermsagreementdate,msdyn_portaltermsagreementdate,Portal Terms Agreement Date,DateTime,Indicates the date and time that the person agreed to the portal terms and conditions.,True,Simple,None,Format: DateAndTime,,
Contact,contact,msdyn_sustainabilitycontactname,msdyn_sustainabilitycontactname,Sustainability contact name,Text,Name,True,Simple,None,"Format: Text
Max length: 100",,
Contact,contact,msdyn_valuechaintype,msdyn_valuechaintype,Account Type,Choices,The value chain type of Contact.,True,Simple,None,"Options:
700610004: Customer
700610002: Franchisee
700610001: Investee
700610000: Supplier
700610003: Third-Party Manufacturer
Default: N/A",,
Contact,contact,msdyn_valuechaintypename,msdyn_valuechaintypeName,N/A,Virtual,N/A,True,Simple,None,,,
Accommodation type,msdyn_accommodationtype,msdyn_accommodationtypeid,msdyn_accommodationtypeId,Accommodation type,Uniqueidentifier,Unique identifier for entity instances,False,Simple,SystemRequired,,,
Accommodation type,msdyn_accommodationtype,msdyn_approvalstatus,msdyn_approvalstatus,Approval status,Choice,Indicator of approval of MSM entity.,True,Simple,None,"Options:
700610000: Pending
700610001: Approved
Default: N/A",,
Accommodation type,msdyn_accommodationtype,msdyn_approvalstatusname,msdyn_approvalstatusName,N/A,Virtual,N/A,True,Simple,None,,,
Accommodation type,msdyn_accommodationtype,msdyn_dataconnection,msdyn_dataconnection,Connection,Lookup,The connection that ingested this accommodation type,True,Simple,None,"Targets:
msdyn_dataconnection",,
Accommodation type,msdyn_accommodationtype,msdyn_dataconnectionname,msdyn_dataconnectionName,N/A,Text,N/A,True,Simple,None,"Format: Text
Max length: 100",,
Accommodation type,msdyn_accommodationtype,msdyn_dataconnectionrefresh,msdyn_dataconnectionrefresh,Connection refresh,Lookup,The connection refresh which ingested this accommodation type,True,Simple,None,"Targets:
msdyn_dataconnectionrefresh",,
Accommodation type,msdyn_accommodationtype,msdyn_dataconnectionrefreshname,msdyn_dataconnectionrefreshName,N/A,Text,N/A,True,Simple,None,"Format: Text
Max length: 3500",,
Accommodation type,msdyn_accommodationtype,msdyn_description,msdyn_description,Description,Text,Description of the accommodation type.,True,Simple,None,"Format: Text
Max length: 250",,
Accommodation type,msdyn_accommodationtype,msdyn_name,msdyn_name,Name,Text,The name of the custom entity.,True,Simple,ApplicationRequired,"Format: Text
Max length: 100",,
Accommodation type,msdyn_accommodationtype,msdyn_origincorrelationid,msdyn_origincorrelationid,Origin correlation ID,Text,An optional identifier to correlate record with data origin.,True,Simple,None,"Format: Text
Max length: 100",,
Business Travel,msdyn_businesstravel,msdyn_accommodationtypeid,msdyn_accommodationtypeid,Accommodation Type,Lookup,Unique identifier associated with the accommodation type related to business travel.,True,Simple,None,"Targets:
msdyn_accommodationtype",,
Business Travel,msdyn_businesstravel,msdyn_accommodationtypeidname,msdyn_accommodationtypeidName,N/A,Text,N/A,True,Simple,None,"Format: Text
Max length: 100",,
Business Travel,msdyn_businesstravel,msdyn_accountid,msdyn_accountid,Account,Lookup,Unique identifier for value chain partner associated with this record.,True,Simple,None,"Targets:
account",,
Business Travel,msdyn_businesstravel,msdyn_accountidname,msdyn_accountidName,N/A,Text,N/A,True,Simple,None,"Format: Text
Max length: 160",,
Business Travel,msdyn_businesstravel,msdyn_accountidyominame,msdyn_accountidYomiName,N/A,Text,N/A,True,Simple,None,"Format: Text
Max length: 160",,
Business Travel,msdyn_businesstravel,msdyn_approvalstatus,msdyn_approvalstatus,Approval status,Choice,Indicator of approval of MSM entity.,True,Simple,None,"Options:
700610000: Pending
700610001: Approved
Default: N/A",,
Business Travel,msdyn_businesstravel,msdyn_approvalstatusname,msdyn_approvalstatusName,N/A,Virtual,N/A,True,Simple,None,,,
Business Travel,msdyn_businesstravel,msdyn_businesstravelid,msdyn_businesstravelId,Business Travel,Uniqueidentifier,Unique identifier for entity instances,False,Simple,SystemRequired,,,
Business Travel,msdyn_businesstravel,msdyn_businesstraveltypeid,msdyn_businesstraveltypeid,Business travel type,Lookup,Unique identifier related to the business travel type. Used to identify emission factors.,True,Simple,ApplicationRequired,"Targets:
msdyn_businesstraveltype",,
Business Travel,msdyn_businesstravel,msdyn_businesstraveltypeidname,msdyn_businesstraveltypeidName,N/A,Text,N/A,True,Simple,None,"Format: Text
Max length: 100",,
Business Travel,msdyn_businesstravel,msdyn_consumptionenddate,msdyn_consumptionenddate,Consumption end date,DateTime,End date of activity consumption.,True,Simple,ApplicationRequired,Format: DateOnly,,
Business Travel,msdyn_businesstravel,msdyn_consumptionstartdate,msdyn_consumptionstartdate,Consumption start date,DateTime,Start date of activity consumption.,True,Simple,None,Format: DateOnly,,
Business Travel,msdyn_businesstravel,msdyn_cost,msdyn_cost,Cost,Decimal,Cost associated with activity data.,True,Simple,None,"Minimum value: -100000000000
Maximum value: 100000000000
Precision: 2",,
Business Travel,msdyn_businesstravel,msdyn_costunit,msdyn_costunit,Cost unit,Lookup,Unit associated with the cost quantity.,True,Simple,None,"Targets:
msdyn_unit",,
Business Travel,msdyn_businesstravel,msdyn_costunitname,msdyn_costunitName,N/A,Text,N/A,True,Simple,None,"Format: Text
Max length: 100",,
Business Travel,msdyn_businesstravel,msdyn_countryregioncode,msdyn_countryregioncode,Country/region,Lookup,Lookup field for Country/region.,True,Simple,None,"Targets:
msdyn_countryregion",,
Business Travel,msdyn_businesstravel,msdyn_countryregioncodename,msdyn_countryregioncodeName,N/A,Text,N/A,True,Simple,None,"Format: Text
Max length: 200",,
Business Travel,msdyn_businesstravel,msdyn_customdimension,msdyn_customdimension,Custom Dimension,Multiline Text,Field where Custom Dimension values are stored in JSON format.,True,Simple,None,"Format: Text
Max length: 1048576",,
Business Travel,msdyn_businesstravel,msdyn_dataconnection,msdyn_dataconnection,Connection,Lookup,The connection that ingested this accommodation type,True,Simple,None,"Targets:
msdyn_dataconnection",,
Business Travel,msdyn_businesstravel,msdyn_dataconnectionname,msdyn_dataconnectionName,N/A,Text,N/A,True,Simple,None,"Format: Text
Max length: 100",,
