TITLE: Bill of Materials,,,,,,,,,,,,,,,,,,,
BOM NO: 05-067913-01-c.csv,,,,,,,,,,,,,,,,,,,
DATE: 04/28/2022,,,,,,,,,,,,,,,,,,,
DESIGN: 02_067913c_top,,,,,,,,,,,,,,,,,,,
TEMPLATE: Z:\allegro\v174_site\cdssetup\template.bom,,,,,,,,,,,,,,,,,,,
CALLOUT: C:\tmp\20_067913c\worklib\02_067913c_top\bom\standoffs.callouts,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ITEM#,Qty,WW_PN,DESCRIPTION, VALUE,JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG, MFG_PN,HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
18,8,E023145,CAP CER 100pF 100V 1% X8G 0603 AEC-Q200, 100pF,C0603,1,100V,N/A,"C166,C167,C180,C181,C187,C188,C201,C202",MURATA, GCM1885G2A101FA16,REL,N/A,N/A,N/A,N/A,N/A,?,?
19,16,E011305,CAP ALUM ELECT 10uF 50V 20% 8x6.2mm AEC-Q200 1.6 Ohm 80mA 1000h, 10uF,CSMSQ327H268,20,50V,N/A,"C168,C169,C189,C190,C209,C210,C211,C212,C213,C214,C221,C222,C223,C224,C225,C226",PANASONIC, EEE-TG1H100P,REL,A004-0001-021,N/A,N/A,N/A,7002547,?,?
20,1,E033272,CAP CER 1500pF 50V 5% X7R 0402, 1500pF,C0402,5,50V,N/A,C17,KEMET, C0402C152J5RACTU,REL,N/A,N/A,N/A,N/A,N/A,?,?
21,8,E013929,CAP CER 680pF 50V 1% C0G 0603, 680pF,C0603,1,50V,N/A,"C172,C173,C174,C175,C193,C194,C195,C196",AVX CORPORATION, 06035A681FAT2,REL,N/A,N/A,N/A,N/A,7003439,?,?
22,8,E041172,CAP CER 1000pF 50V 5% X7R 0402 AEC-Q200, 1000pF,C0402,5,50V,N/A,"C176,C177,C178,C179,C197,C198,C199,C200",MURATA, GCM155R71H102JA37D,REL,N/A,N/A,N/A,N/A,N/A,?,?
23,3,E020410,CAP CER 0.01uF 25V 5% X7R 0402, 0.01uF,C0402,5,25V,N/A,"C18,C20,C259",KEMET, C0402C103J3RACTU,REL,N/A,N/A,N/A,N/A,N/A,?,?
24,1,E026964,CAP CER 0.1uF 25V 10% X7R 0402, 0.1uF,C0402,10,25V,N/A,C19,AVX CORPORATION, 04023C104KAT2A,REL,N/A,N/A,N/A,N/A,7001510,?,?
25,12,E012687,CAP CER 2700pF 50V 10% X7R 0805, 2700pF,C0805,10,50V,N/A,"C203,C204,C205,C206,C207,C208,C215,C216,C217,C218,C219,C220",AVX, 08055C272KAT2A,REL,N/A,N/A,N/A,1412_CAB3,7002963,?,?
26,1,E035727,CAP CER 33pF 50V 5% C0G 0402, 33pF,C0402,5,50V,N/A,C21,SAMSUNG, CL05C330JB5NNNC,REL,N/A,N/A,N/A,N/A,N/A,?,?
27,1,E011234,CAP SILICON 2.2pF 25V 0.05pF 0402 AEC-Q200, 2.2pF,C0402,0.05pF,25V,N/A,C22,AVX, 04023J2R2ABSTR,REL,N/A,N/A,N/A,N/A,7002759,?,?
28,2,E007982,CAP CER 10pF 50V 5% C0G 0402, 10pF,C0402,5,50V,N/A,"C229,C277",YAGEO, CC0402JRNPO9BN100,REL,A004-0011-015,N/A,N/A,146_BIN2-6A,7002459,?,?
29,3,E040045,CAP CER 33uF 6.3V 20% X7S 1210 AEC-Q200 LOW ESR, 33uF,C1210H106,20,6.3V,N/A,"C23,C24,C26",TDK, CGA6P1X7S0J336M250AC,REL,N/A,N/A,N/A,N/A,N/A,?,?
30,1,E007201,CAP CER 0.01uF 10V 10% X7R 0201, 0.01uF,C0201,10,10V,N/A,C231,MURATA, GRM033R71A103KA01D,REL,ADD_TO_STOCK_237,N/A,N/A,1214_CAB3,7001953,?,?
31,1,E041493,CAP CER 2.2uF 16V 10% X6S 0402 AEC-Q200, 2.2uF,C0402,10,16V,N/A,C236,MURATA, GRT155C81C225KE13D,REL,N/A,N/A,N/A,N/A,N/A,?,?
32,4,E034633,CAP CER 12pF 50V 5% C0G 0402 AEC-Q200 LOW ESR, 12pF,C0402,5,50V,N/A,"C239,C241,C244,C248",TDK, CGA2B2C0G1H120J050BA,REL,N/A,N/A,N/A,N/A,N/A,?,?
33,3,E028140,CAP CER 1uF 10V 10% X7S 0402 AEC-Q200, 1uF,C0402,10,10V,N/A,"C245,C247,C250",MURATA, GCM155C71A105KE38D,REL,N/A,N/A,N/A,N/A,N/A,?,?
34,2,E035951,CAP CER 22uF 10V 20% X5R 0603 AEC-Q200, 22uF,C0603,20,10V,N/A,"C249,C262",MURATA, GRT188R61A226ME13D,REL,N/A,N/A,N/A,N/A,N/A,?,?
35,1,E032325,CAP CER 330pF 50V 10% X7R 0201, 330pF,C0201,10,50V,N/A,C252,YAGEO, CC0201KRX7R9BB331,REL,N/A,N/A,N/A,N/A,N/A,?,?
36,1,E035311,CAP CER 0.22uF 16V 10% X7R 0402 AEC-Q200, 0.22uF,C0402,10,16V,N/A,C257,MURATA, GCM155R71C224KE02D,REL,N/A,N/A,N/A,N/A,N/A,?,?
37,1,E026762,CAP CER 10uF 35V 20% X5R 0603, 10uF,C0603,20,35V,N/A,C261,MURATA, GRM188R6YA106MA73D,REL,N/A,N/A,N/A,N/A,N/A,?,?
39,1,E045171,CAP CER 0.1UF 250V 10% X7R 1206 AEC-Q200, 0.1UF,C1206,10,250V,N/A,C267,KEMET, C1206C104KARECAUTO,REL,N/A,N/A,N/A,N/A,N/A,?,?
40,2,E018452,CAP CER 0.1uF 50V 10% X7R 0402 AEC-Q200 LOW ESR, 0.1uF,C0402H22,10,50V,N/A,"C268,C271",TDK, CGA2B3X7R1H104K050BB,REL,N/A,N/A,N/A,N/A,7002137,?,?
