TITLE: Bill of Materials,,,,,,,,,,,,,,,,,,,
BOM NO: 05-067913-01-c.csv,,,,,,,,,,,,,,,,,,,
DATE: 04/28/2022,,,,,,,,,,,,,,,,,,,
DESIGN: 02_067913c_top,,,,,,,,,,,,,,,,,,,
TEMPLATE: Z:\allegro\v174_site\cdssetup\template.bom,,,,,,,,,,,,,,,,,,,
CALLOUT: C:\tmp\20_067913c\worklib\02_067913c_top\bom\standoffs.callouts,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ITEM#,Qty,WW_PN,DESCRIPTION, VALUE,JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG, MFG_PN,HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
104,1,E010424,RES SMD 18.2K Ohm 1% 1/10W 0402 AEC-Q200, 18.2K,R0402,1,33.861V,1/10W,R181,PANASONIC, ERJ-2RKF1822X,REL,N/A,41816JH1498,N/A,N/A,7006345,?,?
105,1,E004014,"LTB(Mar 31, 20) - RES SMD 30K Ohm 1% 1/20W 0201", 30K,R0201,1,N/A,1/20W,R183,PANASONIC, ERJ-1GNF3002C,RWC,A003-0081-007,N/A,N/A,N/A,7007241,?,?
106,1,E020665,RES SMD 47K Ohm 1% 1/20W 0201, 47K,R0201,1,N/A,1/20W,R184,PANASONIC, ERJ-1GNF4702C,REL,N/A,N/A,N/A,N/A,N/A,?,?
107,2,E003462,RES SMD 330 Ohm 5% 1/10W 0402 AEC-Q200,330,R0402,5,N/A,1/10W,"R44,R187",PANASONIC, ERJ-2GEJ331X,REL,A003-0021-026,41816JH1133,N/A,N/A,7007297,?,?
108,1,E034483,RES SMD 0 Ohm JUMPER 1/10W 0603,0,R0603,JUMPER,N/A,1/10W,R189,YAGEO, RC0603JR-070RL,REL,N/A,N/A,N/A,N/A,N/A,?,?
109,2,E003763,RES SMD 1K Ohm 1% 1/10W 0402 AEC-Q200, 1K,R0402,1,N/A,1/10W,"R19,R92",PANASONIC, ERJ-2RKF1001X,REL,A003-0035-019,N/A,N/A,751_CAB3,7001202,?,?
110,1,E003438,RES SMD 0 Ohm JUMPER 1/10W 0402 AEC-Q200,0,R0402,JUMPER,N/A,1/10W,R190,PANASONIC, ERJ-2GE0R00X,REL,A003-0021-001,N/A,N/A,1138_CAB3,7000282,?,?
111,1,E019735,RES SMD 71.5K Ohm 1% 1/16W 0402 AEC-Q200, 71.5K,R0402,1,N/A,1/16W,R191,VISHAY, CRCW040271K5FKED,REL,N/A,N/A,N/A,N/A,N/A,?,?
112,1,E012474,RES SMD 10K Ohm 0.1% 1/16W 0402 AEC-Q200 SULFUR RESISTANT HIGH STABILITY, 10K,R0402,0.1,50V,1/16W,R192,VISHAY, TNPW040210K0BEED,REL,N/A,N/A,N/A,N/A,7005850,?,?
113,1,E004448,RES SMD 0 Ohm JUMPER 1/4W 1206 AEC-Q200,0,R1206,JUMPER,N/A,1/4W,R193,PANASONIC, ERJ-8GEY0R00V,REL,A003-0018-088,N/A,N/A,N/A,7005379,?,?
114,1,E003749,RES SMD 1MEG Ohm 1% 1/10W 0402 AEC-Q200, 1MEG,R0402,1,N/A,1/10W,R194,PANASONIC, ERJ-2RKF1004X,REL,A003-0035-002,N/A,N/A,1686_CAB3,N/A,?,?
115,1,E041486,RES SMD 187K Ohm 1% 1/16W 0402 AEC-Q200, 187K,R0402,1,N/A,1/16W,R195,VISHAY, CRCW0402187KFKED,REL,N/A,N/A,N/A,N/A,N/A,?,?
116,1,E042730,RES SMD 4.7K OHM 5% 1/10W 0402 AEC-Q200, 4.7K,R0402,5,N/A,1/10W,R196,PANASONIC, ERJ-2GEJ472X,REL,N/A,N/A,N/A,N/A,N/A,?,?
117,1,E034634,"RES SMD 3.32K OHM 1% 1/10W 0402, AEC-Q200", 3.32K,R0402,1,N/A,1/10W,R197,PANASONIC, ERJ-2RKF3321X,REL,N/A,N/A,N/A,N/A,N/A,?,?
118,4,E010034,RES SMD 3.3K Ohm 1% 1/10W 0402 AEC-Q200, 3.3K,R0402,1,50V,1/10W,"R198,R199,R200,R201",PANASONIC, ERJ-2RKF3301X,REL,N/A,N/A,N/A,N/A,7007123,?,?
119,1,E027299,RES SMD 3.01K Ohm 1% 1/10W 0402 AEC-Q200, 3.01K,R0402,1,N/A,1/10W,R20,PANASONIC, ERJ-2RKF3011X,REL,N/A,N/A,N/A,N/A,N/A,?,?
120,1,E003796,RES SMD 100K Ohm 1% 1/10W 0402 AEC-Q200, 100K,R0402,1,N/A,1/10W,R31,PANASONIC, ERJ-2RKF1003X,REL,A003-0035-053,41816DG575,N/A,1422_CAB3,N/A,?,?
121,1,E019446,RES SMD 30K Ohm 1% 1/10W 0402 AEC-Q200, 30K,R0402,1,50V,1/10W,R32,PANASONIC, ERJ-2RKF3002X,REL,N/A,N/A,N/A,N/A,N/A,?,?
122,2,E026331,RES SMD 59K Ohm 1% 1/10W 0402 AEC-Q200, 59K,R0402,1,N/A,1/10W,"R33,R34",PANASONIC, ERJ-2RKF5902X,REL,N/A,N/A,N/A,N/A,N/A,?,?
123,1,E016739,RES SMD 38.3K Ohm 1% 1/10W 0402 AEC-Q200, 38.3K,R0402,1,N/A,1/10W,R37,PANASONIC, ERJ-2RKF3832X,REL,N/A,N/A,N/A,N/A,7007402,?,?
124,5,E035971,RES SMD 100K Ohm 0.5% 1/16W 0402 AEC-Q200 HIGH RELIABILITY, 100K,R0402,0.5,N/A,1/16W,"R38,R42,R43,R45,R47",PANASONIC, ERA-2AED104X,REL,N/A,N/A,N/A,N/A,N/A,?,?
125,1,E023709,RES SMD 15.8K Ohm 0.1% 1/16W 0402 AEC-Q200 HIGH RELIABILITY, 15.8K,R0402,0.1,N/A,1/16W,R39,PANASONIC, ERA-2AEB1582X,REL,N/A,N/A,N/A,N/A,N/A,?,?
126,1,E040494,RES SMD 30.9K Ohm 0.5% 0.167W 0603 AEC-Q200, 30.9K,R0603,0.5,N/A,0.167W,R46,"STACKPOLE ELECTRONICS, INC.", RNCF0603DTE30K9,REL,N/A,N/A,N/A,N/A,N/A,?,?
127,1,E006343,RES SMD 95.3K Ohm 1% 1/10W 0402 AEC-Q200, 95.3K,R0402,1,N/A,1/10W,R48,PANASONIC, ERJ-2RKF9532X,REL,ADD_TO_STOCK434,41816JH1212,N/A,N/A,N/A,?,?
128,1,E030873,RES SMD 1MEG Ohm 1% 1/10W 0603 AEC-Q200, 1MEG,R0603,1,N/A,1/10W,R49,VISHAY, CRCW06031M00FKEA,REL,N/A,N/A,N/A,N/A,N/A,?,?
130,6,E021894,RES SMD 330 Ohm 1% 1/16W 0402 AEC-Q200,330,R0402,1,N/A,1/16W,"R57,R58,R65,R79,R80,R81",VISHAY, CRCW0402330RFKED,REL,N/A,N/A,N/A,N/A,N/A,?,?
131,2,E034570,RES SMD 0 Ohm JUMPER 1/20W 0201,0,R0201,JUMPER,N/A,1/20W,"R66,R67",VISHAY, CRCW02010000Z0ED,REL,N/A,N/A,N/A,N/A,N/A,?,?
133,1,E005784,RES SMD 562 Ohm 1% 1/10W 0402 AEC-Q200,562,R0402,1,N/A,1/10W,R94,PANASONIC, ERJ-2RKF5620X,REL,A003-0035-071,41816JH1194,N/A,N/A,N/A,?,?
134,2,E016329,RES SMD 100 Ohm 1% 1/10W 0402 AEC-Q200,100,R0402,1,N/A,1/10W,"R95,R96",PANASONIC, ERJ-2RKF1000X,REL,N/A,N/A,N/A,N/A,7005699,?,?
135,1,E022955,SWITCH SPST SLIDE 2POS, 219-2MST,SWSML258W264H180,N/A,N/A,N/A,SW1,CTS, 219-2MST,REL,N/A,N/A,N/A,N/A,N/A,?,?
136,1,E050408,IC-ADI SHARC SINGLE CORE DSP 400MHZ, ADSP-21562BSWZ4,LQFP120_14X14_PAD5_4X5_4,N/A,N/A,?,U1,ANALOG DEVICES, ADSP-21562BSWZ4,REL,N/A,N/A,N/A,N/A,N/A,?,?
137,1,E040085,"IC-ADI 5V, 3A SYNCHRONOUS STEP-DOWN SILENT SWITCHER", LTC3307AHV#TRMPBF,QFN12_2X2_PAD0_7X0_7,N/A,N/A,?,U10,ANALOG DEVICES, LTC3307AHV#TRMPBF,REL,N/A,N/A,N/A,N/A,N/A,?,?
138,2,E027659,IC-ADI OPEN-DRAIN MICROPROCESSOR SUPERVISORY CKT, ADM6315-29D2ARTZR7,SOT143A,N/A,N/A,?,"U11,U28",ANALOG DEVICES, ADM6315-29D2ARTZR7,REL,N/A,N/A,N/A,N/A,30-026367-01,?,?
139,1,E021940,"IC-ADI ULTRALOW NOISE, CMOS LINEAR REG, 1.8 VOUT", ADP151ACPZ-1.8,DFN6_2X2_PAD1_6X1,N/A,N/A,?,U12,ANALOG DEVICES, ADP151ACPZ-1.8-R7,REL,N/A,N/A,N/A,N/A,N/A,?,?
140,1,E040333,"IC-CMOS HIGH BANDWIDTH, 4-BIT 2-PORT BUS SWITCH", PI3C3125LEX,TSSOP14,N/A,N/A,?,U13,DIODES INCORPORATED, PI3C3125LEX,REL,N/A,N/A,N/A,N/A,N/A,?,?
141,1,E018265,IC USB SERIAL UART, FT232RQ,QFN32_5X5_PAD3_2X3_2,N/A,N/A,?,U14,FTDI CHIP, FT232RQ,REL,N/A,N/A,N/A,N/A,1004457,?,?
142,8,E010370,"IC-ADI PREC LOW NOISE, CMOS RAIL TO RAIL 1N/OUT AMPS", AD8606ACBZ,WLCSP8,N/A,N/A,?,"U7,U15,U16,U17,U18,U19,U20,U21",ANALOG DEVICES, AD8606ACBZ-REEL7,REL,N/A,N/A,N/A,N/A,1002664,?,?
143,1,E050486,IC-ADI QUAD ANALOG TO DIGITAL CONVERTER, ADAU1979WBCPZ,QFN40_6X6_PAD3_9X3_9,N/A,N/A,?,U2,ANALOG DEVICES, ADAU1979WBCPZ,REL,N/A,N/A,N/A,N/A,N/A,?,?
144,2,E049234,"IC-TTL SINGLE SCHMITT-TRIGGER INVERTER, AEC-Q100", SN74LVC1G14QDCKRQ1,SC70-5,N/A,N/A,?,"U22,U23",TEXAS INSTRUMENTS, SN74LVC1G14QDCKRQ1,REL,N/A,N/A,N/A,N/A,N/A,?,?
145,2,E050248,IC-CMOS QUAD FET BUS SWITCH, SN74CB3T3125RGYR,QFN14_3_5X3_5_PAD2_05X2_05,N/A,N/A,?,"U24,U25",TEXAS INSTRUMENTS, SN74CB3T3125RGYR,REL,N/A,N/A,N/A,N/A,N/A,?,?
147,1,E041656,"IC-ADI HIGH EFFICIENCY 60V/100MA SYNCHRONOUS BUCK, 3.3VOUT PRELIM", LT8618EDDB-3.3#TRPBF,DFN10_3X2_PAD2_39X0_64,N/A,N/A,?,U27,ANALOG DEVICES, LT8618EDDB-3.3#TRPBF,RWC,N/A,N/A,N/A,N/A,N/A,?,?
148,1,E035648,IC 1K I2C SERIAL EEPROM, 24AA01T-I/OT,SOT23-5L-2,N/A,N/A,?,U29,MICROCHIP TECHNOLOGY, 24AA01T-I/OT,REL,N/A,N/A,N/A,N/A,N/A,?,?
149,1,E054395,"IC 512MB NOR FLASH SERIAL (SPI, DUAL IC SPI, QUAD SPI) 3V/3.3V 512M-BIT 64M X 8 8.5NS", IS25LP512M-RHLE,TBGA24,N/A,N/A,?,U3,ISSI, IS25LP512M-RHLE,REL,N/A,N/A,N/A,N/A,N/A,?,?
150,1,E050485,"IC-ADI 12-CHANNEL, HIGH PERFORMANCE, 192KHZ, 24-BIT ADC", ADAU1962AWBSTZ,LQFP80,N/A,N/A,?,U4,ANALOG DEVICES, ADAU1962AWBSTZ,REL,N/A,N/A,N/A,N/A,N/A,?,?
151,1,E041590,IC 32-BIT ARM CORTEX-M7 MICROCONTROLLER, ATSAME70Q21B-CFNT,BGA144_6X6,N/A,N/A,?,U5,MICROCHIP TECHNOLOGY, ATSAME70Q21B-CFNT,?,N/A,N/A,N/A,N/A,N/A,?,?
152,2,E038490,"IC-ADI 42V, 3A SYNCHRONOUS STEP-DOWN REGULATOR WITH 2.5UA QUIESCENT CURRENT", LT8609AEMSE#TRPBF,MSOP10_PAD1_88X1_68,N/A,N/A,?,"U6,U9",ANALOG DEVICES, LT8609AEMSE#TRPBF,REL,N/A,N/A,N/A,N/A,N/A,?,?
153,1,E029593,IC-CMOS TINYLOGIC UHS TWO-INPUT AND GATE, NC7SZ08FHX,UDFN6_1X1,N/A,N/A,?,U8,FAIRCHILD SEMICONDUCTOR, NC7SZ08FHX,REL,N/A,N/A,N/A,N/A,N/A,?,?
154,1,E043918,"RES VAR 14VAC/18VDC 200A 1206, AEC-Q200", 14VAC/18VDC,R1206H67,N/A,22V,N/A,V1,TDK, B72520E0140K062,REL,N/A,N/A,N/A,N/A,N/A,?,?
155,1,E033817,IC CRYSTAL 32.768KHZ 12.5PF 20PPM 3.2X1.5X0.65MM, 32.768KHZ,YSML126W59H26,20PPM,N/A,N/A,Y1,MICRO CRYSTAL AG, CM7V-T1A 32.768KHZ 12.5 PF +/-20PPM TA QA,REL,N/A,N/A,N/A,N/A,N/A,?,?
156,1,E041019,IC CRYSTAL 18PF LOAD CAP AUTOMOTIVE, 25MEGHZ,YSML126W98H31,30PPM,N/A,N/A,Y2,"ECS, INC.", ECS-250-18-33Q-DS,REL,N/A,N/A,N/A,N/A,N/A,?,?
157,1,E033305,"IC CRYSTAL ULTRA MINITURE CERAMIC, 12PF LOAD CAP", 12MEGHZ,YSML126W98H31,20,N/A,N/A,Y3,ABRACON CORP., ABM8AIG-12.000MHZ-12-2Z-T3,REL,N/A,N/A,N/A,N/A,N/A,?,?
158,1,E049232,IC XTAL OSC XO 24.576MEGHZ CMOS AEC-Q100/200, 24.576MEGHZ,YSML126W98H31,N/A,N/A,N/A,Y4,KYOCERA, MC3225Z24.5760C19XSH,REL,N/A,N/A,N/A,N/A,N/A,?,?
,,,,,,,,,,,,,,,,,,,
Mechanical Parts,,,,,,,,,,,,,,,,,,,
ITEM#,Qty,WW_PN,DESCRIPTION, VALUE,JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG, MFG_PN,HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
2,4,M025474,"STANDOFF, NYLON HEX FEMALE 6.35MM O.D, 4-40 THREAD, 1/2 INCH LONG", ?,N/A,?,?,?,?,KEYSTONE, 1902C,REL,N/A,N/A,N/A,N/A,N/A,?,?
3,4,M025339,"SCREW, MACHINE NYLON PAN HEAD PHILLIPS 4-40 THREAD, 1/4 INCH LONG", ?,N/A,?,?,?,?,B&F FASTENER SUPPLY, NY PMS 440 0025 PH,REL,N/A,N/A,N/A,N/A,N/A,?,?
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
The following components are part of the PCB or are NOT to be installed,,,,,,,,,,,,,,,,,,,
ITEM#,Qty,WW_PN,DESCRIPTION, VALUE,JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG, MFG_PN,HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
38,2,E045125,CAP CER 1NF 250V 5% C0G 0805 AEC-Q200, 1NF,C0805,5,250V,N/A,"C265,C266",TDK, CGA4F3C0G2E102J085AA,REL,N/A,N/A,N/A,N/A,N/A,?,DNI
73,1,E027236,CONN-PCB SHROUDED AND EJECTOR IDC HDR VERT 1.27MM PITCH, SHF-105-01-L-D-TH-TR,CNTHMHDR2X5L500W200H215,N/A,N/A,N/A,P1,SAMTEC INC., SHF-105-01-L-D-TH-TR,REL,N/A,N/A,N/A,N/A,6003603,?,DNI
78,2,E020772,CONN-PCB HEADER 2POS, TSW-102-09-G-S,CNHDR1X2H330,N/A,N/A,N/A,"P7,P8",SAMTEC, TSW-102-09-G-S,REL,N/A,N/A,N/A,N/A,N/A,?,DNI
79,1,E023036,CONN-PCB SHROUDED AND EJECTOR IDC HDR VERT 1.27MM PITCH, SHF-105-01-L-D-SM-TR,CNHDR2X5H220,N/A,N/A,N/A,P9,SAMTEC, SHF-105-01-L-D-SM-TR,REL,N/A,N/A,N/A,N/A,N/A,?,DNI
82,1,E030866,RES SMD 0 Ohm JUMPER 1/5W 0402 AEC-Q200,0,R0402,JUMPER,N/A,1/5W,R1,VISHAY, CRCW04020000Z0EDHP,REL,N/A,N/A,N/A,N/A,N/A,?,DNI
85,3,E032279,RES SMD 10K Ohm 5% 1/20W 0201, 10K,R0201,5,N/A,1/20W,"R63,R101,R105",PANASONIC, ERJ-1GNJ103C,REL,N/A,N/A,N/A,N/A,N/A,?,DNI
92,4,E031505,RES SMD 750K Ohm 1% 1/10W 0603 AEC-Q200, 750K,R0603,1,N/A,1/10W,"R112,R115,R130,R133",PANASONIC, ERJ-3EKF7503V,REL,N/A,N/A,N/A,N/A,N/A,?,DNI
129,2,E003751,RES SMD 10K Ohm 1% 1/10W 0402 AEC-Q200, 10K,R0402,1,N/A,1/10W,"R50,R52",PANASONIC, ERJ-2RKF1002X,REL,A003-0035-004,41816DG719,N/A,N/A,7000582,?,DNI
132,1,E003464,RES SMD 100K Ohm 5% 1/10W 0402 AEC-Q200, 100K,R0402,5,N/A,1/10W,R89,PANASONIC, ERJ-2GEJ104X,REL,N/A,N/A,N/A,N/A,7005773,?,DNI
146,1,E038699,IC 32MB SERIAL FLASH-MEMORY WITH 133MHZ MULTI I/0 SPI & QUAD I/O QPI DTR INTERFACE, IS25LP032D-JKLE,WSON8_5X6_PAD4X3_4,N/A,N/A,?,U26,ISSI, IS25LP032D-JKLE,REL,N/A,N/A,N/A,N/A,N/A,?,DNI
 Callouts File:C:\tmp\20_067913c\worklib\02_067913c_top\bom\standoffs.callouts,,,,,,,,,,,,,,,,,,,
