TITLE: Bill of Materials,,,,,,,,,,
BOM NO: 05-050322-01-c.csv,,,,,,,,,,
DESIGN: 02_050322c_top,,,,,,,,,,
,,,,,,,,,,
ITEM#,Qty,DESCRIPTION, VALUE,JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG, MFG_PN
30,10,RES PRECISION THICK FILM CHIP R1206, 1K,R1206,1,,1/4W,"R12,R14,R15,R20,R21,R22,R23,R24,R27,R28",PANASONIC, ERJ-8ENF1001V
31,4,RES METAL FILM CHIP, 100K,R0805,0.1,,1/8W,"R13,R17,R19,R26",PANASONIC, ERA-6AEB104V
33,1,CONN-PCB TST PNT RED, RED,CNLOOPTP,,,,TP1,COMPONENTS CORPORATION, TP-104-01-02
34,2,CONN-PCB TST PNT BLK, BLK,CNLOOPTP,,,,"TP2,TP3",COMPONENTS CORPORATION, TP-104-01-00
36,4,"IC-ADI WIDE RANGE BINARY INPUT MONITOR, PROGRAMMABLE, REINFORCED ISOLATION PRELIM", ADE1202,LGA20H47,,,,"U0,U2,U4,U6",ANALOG DEVICES, ADE1202
37,1,IC 32KBIT I2C SERIAL EEPROM, 24LC32A-I/MC,DFN8_2X3_PAD1_45X1_75,,,,U1,MICROCHIP TECHNOLOGY, 24LC32A-I/MC
38,1,"IC-ADI 800mA, ULTRA LOW NOISE HIGH PSRR, RF LIN-REG 3.3V-OUT", ADM7150ACPZ-3.3,DFN8_3X3_PAD2_38X1_64,,,,U3,ANALOG DEVICES, ADM7150ACPZ-3.3-R7
,,,,,,,,,,
,,,,,,,,,,
The following components are part of the PCB or are NOT to be installed,,,,,,,,,,
ITEM#,Qty,DESCRIPTION, VALUE,JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG, MFG_PN
3,8,"CAP CER C0G(NP0), GENERAL PURPOSE", 1000pF,C0402,5,50V,,"C0_1,C1_1,C2_1,C3_1,C4_1,C5_1,C6_1,C7_1",MURATA, GRM1555C1H102JA01
6,8,CAP CER C0G, 10PF,C1808,+/-1PF,3000V,,"C0_13,C0_14,C2_13,C2_14,C4_13,C4_14,C6_13,C6_14",TDK, C4520C0G3F100F085KA
7,8,CAP CER NP0, 1000PF,C0603,1,50V,,"C0_2,C1_2,C2_2,C3_2,C4_2,C5_2,C6_2,C7_2",AVX CORPORATION, 06035A102FAT2A
11,1,"DO NOT INSTALL (TBD_C1210), PLEASE USE SYM_3 AND/OR SYM_4", TBD1210,C1210,TBD1210,TBD1210,,C20,TBD, TBD1210
32,3,RES THICK FILM CHIP,0,R0805,,,1/8W,"R16,R18,R25",PANASONIC, ERJ-6GEY0R00V
35,4,CONN-PCB PIN RECEPTACLE, 0294-0-15-15-06-27-10-0,CNMILLMAX0294,,,,"TP4,TP5,TP6,TP7",MILL-MAX, 0294-0-15-15-06-27-10-0
